airport_id,city,state,airport_name,country
WTK,"Noatak, AK",AK,WTK Airport,USA
KPB,"Point Baker, AK",AK,KPB Airport,USA
WFB,"Ketchikan, AK",AK,WFB Airport,USA
EDA,"Edna Bay, AK",AK,EDA Airport,USA
HYL,"Hollis, AK",AK,HYL Airport,USA
1AK,"Mertarvik, AK",AK,1AK Airport,USA
ABL,"Ambler, AK",AK,ABL Airport,USA
DRG,"Deering, AK",AK,DRG Airport,USA
KVL,"Kivalina, AK",AK,KVL Airport,USA
OBU,"Kobuk, AK",AK,OBU Airport,USA
GUM,"Guam, TT",TT,GUM Airport,USA
ROP,"Rota, TT",TT,ROP Airport,USA
SPN,"Saipan, TT",TT,SPN Airport,USA
TIQ,"Tinian, TT",TT,TIQ Airport,USA
BBX,"Blue Bell, PA",PA,BBX Airport,USA
JRA,"New York, NY",NY,JRA Airport,USA
JRB,"New York, NY",NY,JRB Airport,USA
TSS,"New York, NY",NY,TSS Airport,USA
A65,"Karluk Portage, AK",AK,A65 Airport,USA
A75,"Malina Bay, AK",AK,A75 Airport,USA
KKL,"Karluk Lake, AK",AK,KKL Airport,USA
6AK,"Newtok, AK",AK,6AK Airport,USA
CZF,"Cape Romanzof, AK",AK,CZF Airport,USA
EHM,"Cape Newenham, AK",AK,EHM Airport,USA
EGX,"Egegik, AK",AK,EGX Airport,USA
ENA,"Kenai, AK",AK,ENA Airport,USA
IGG,"Igiugig, AK",AK,IGG Airport,USA
KGK,"Koliganek, AK",AK,KGK Airport,USA
KLL,"Levelock, AK",AK,KLL Airport,USA
WSN,"South Naknek, AK",AK,WSN Airport,USA
CGA,"Craig, AK",AK,CGA Airport,USA
DOF,"Dora Bay, AK",AK,DOF Airport,USA
HYG,"Hydaburg, AK",AK,HYG Airport,USA
KCC,"Coffman Cove, AK",AK,KCC Airport,USA
KTB,"Thorne Bay, AK",AK,KTB Airport,USA
KXA,"Kasaan, AK",AK,KXA Airport,USA
MTM,"Metlakatla, AK",AK,MTM Airport,USA
NKI,"Naukiti, AK",AK,NKI Airport,USA
PPV,"Port Protection, AK",AK,PPV Airport,USA
WMK,"Meyers Chuck, AK",AK,WMK Airport,USA
WWP,"Whale Pass, AK",AK,WWP Airport,USA
WWD,"Cape May, NJ",NJ,WWD Airport,USA
ADS,"Dallas, TX",TX,ADS Airport,USA
APC,"Napa, CA",CA,APC Airport,USA
C01,"Camarillo, CA",CA,C01 Airport,USA
COE,"Coeur d'Alene, ID",ID,COE Airport,USA
DSM,"Des Moines, IA",IA,DSM Airport,USA
HHR,"Hawthorne, CA",CA,HHR Airport,USA
NUQ,"Mountain View, CA",CA,NUQ Airport,USA
OGD,"Ogden, UT",UT,OGD Airport,USA
OXR,"Oxnard/Ventura, CA",CA,OXR Airport,USA
PRB,"Paso Robles, CA",CA,PRB Airport,USA
SAF,"Santa Fe, NM",NM,SAF Airport,USA
TVL,"Lake Tahoe, CA",CA,TVL Airport,USA
VCV,"Victorville, CA",CA,VCV Airport,USA
XWW,"Driggs, ID",ID,XWW Airport,USA
YCG,"Castlegar/Nelson/Trail, Canada",BC,YCG Airport,USA
PIP,"Pilot Point, AK",AK,PIP Airport,USA
UGS,"Ugashik, AK",AK,UGS Airport,USA
WHD,"Hyder, AK",AK,WHD Airport,USA
N4Y,"Southampton, NY",NY,N4Y Airport,USA
PA8,"Collegeville, PA",PA,PA8 Airport,USA
A87,"Carry Inlet, AK",AK,A87 Airport,USA
AVW,"Tucson, AZ",AZ,AVW Airport,USA
BZN,"Bozeman, MT",MT,BZN Airport,USA
CHA,"Chattanooga, TN",TN,CHA Airport,USA
DVT,"Phoenix, AZ",AZ,DVT Airport,USA
HAF,"Half Moon Bay, CA",CA,HAF Airport,USA
MHR,"Sacramento, CA",CA,MHR Airport,USA
MSO,"Missoula, MT",MT,MSO Airport,USA
OUN,"Norman, OK",OK,OUN Airport,USA
RDM,"Bend/Redmond, OR",OR,RDM Airport,USA
RIL,"Rifle, CO",CO,RIL Airport,USA
SJD,"San Jose del Cabo, Mexico",,SJD Airport,USA
TUL,"Tulsa, OK",OK,TUL Airport,USA
A04,"Red Lake, AK",AK,A04 Airport,USA
A29,"Kiluda Bay, AK",AK,A29 Airport,USA
WQX,"Kiavak, AK",AK,WQX Airport,USA
BLD,"Boulder City, NV",NV,BLD Airport,USA
FTW,"Dallas/Fort Worth, TX",TX,FTW Airport,USA
MYF,"San Diego, CA",CA,MYF Airport,USA
SUN,"Sun Valley/Hailey/Ketchum, ID",ID,SUN Airport,USA
NJ1,"Berlin, NJ",NJ,NJ1 Airport,USA
A50,"Big Bay, AK",AK,A50 Airport,USA
CNY,"Moab, UT",UT,CNY Airport,USA
FLG,"Flagstaff, AZ",AZ,FLG Airport,USA
ONT,"Ontario, CA",CA,ONT Airport,USA
SBD,"San Bernardino, CA",CA,SBD Airport,USA
SEE,"San Diego, CA",CA,SEE Airport,USA
SGU,"St. George, UT",UT,SGU Airport,USA
LVD,"Lime Village, AK",AK,LVD Airport,USA
ZXH,"Chomondely Sound, AK",AK,ZXH Airport,USA
HWD,"Hayward, CA",CA,HWD Airport,USA
LVK,"Livermore, CA",CA,LVK Airport,USA
MMH,"Mammoth Lakes, CA",CA,MMH Airport,USA
MWH,"Moses Lake, WA",WA,MWH Airport,USA
LBF,"North Platte, NE",NE,LBF Airport,USA
MCE,"Merced, CA",CA,MCE Airport,USA
